Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Мальта,316.0,316.0,320.0,0.0,0.0,0.0,493 559,83.5,81.5,85.4,0.915,36.87
Марокко,446550.0,446550.0,446300.0,250.0,97.0,0.1,38 081 173,75.5,73.3,77.8,0.698,409.073
Марти­ника,,,,,,,,82.7,79.5,85.7,,
Мартиника,1128.0,1128.0,1128.0,0.0,0.0,0.0,381 326,,,,,
Маршал­ловы Острова,,,,,,,,67.1,65.0,69.5,0.731,
Маршалловы Острова,,,,,,,53 069,,,,,
Маршалловы острова,181.0,181.0,180.0,0.0,0.0,0.0,,,,,,0.287
Мексика,1964375.0,1964375.0,1943950.0,20430.0,7888.0,1.0,130 861 007,75.3,72.4,78.0,0.781,3434.224
Микро­незия,,,,,,,,67.4,63.6,71.3,0.634,
Микронезия,702.0,702.0,700.0,0.0,0.0,0.0,114 000,,,,,0.443
Мозамбик,801590.0,801590.0,786380.0,13000.0,5000.0,1.6,34 631 766,63.8,60.5,66.7,0.461,57.466
Молдавия,,,,,,,2 423 300,,,,,
Молдова,33846.0,33846.0,32884.6,960.0,370.0,2.8,,71.3,66.7,75.7,0.763,43.882
Монако,2.02,2.02,2.0,0.0,0.0,0.0,38 300,86.5,84.6,88.6,,
Монголия,1564110.0,1564110.0,1557506.8,10560.0,4077.0,0.7,3 457 548,72.0,67.5,76.7,0.741,58.58
Монт­серрат,,,,,,,,76.3,74.3,79.0,,
Монтсеррат,102.0,102.0,102.0,0.0,0.0,0.0,4294,,,,,
Мьянма,676578.0,676578.0,652670.0,23070.0,8907.0,3.4,54 500 091,67.1,64.0,70.4,0.608,283.572
Намибия,825615.0,825615.0,823290.0,2425.0,936.0,0.3,3 022 401,67.5,63.5,71.5,0.61,32.302
Науру,21.0,21.0,20.0,0.0,0.0,0.0,11 086,62.3,60.4,64.2,0.696,0.141
Непал,147181.0,147181.0,143350.0,3830.0,1480.0,2.6,29 651 054,70.6,69.1,72.1,0.601,159.139
Нигер,1267000.0,1267000.0,1266700.0,300.0,100.0,0.0,27 032 412,61.4,60.5,62.4,0.394,47.024
Нигерия,923768.0,923768.0,910770.0,13000.0,5000.0,1.4,232 679 478,54.6,54.3,54.9,0.548,1443.708
Нидер­ланды,,,,,,,,82.3,80.7,83.9,0.946,
Нидерланды,41850.0,41850.0,33670.0,7957.0,3072.0,19.0,18 228 742,,,,,1329.039
Никарагуа,130373.0,130373.0,120340.0,10380.0,4008.0,8.0,6 803 886,75.1,72.5,77.6,0.669,54.89
Ниуэ,261.0,261.0,261.0,0.0,0.0,0.0,1618,70.1,67.5,72.9,,
Новая Зелан­дия,,,,,,,,82.2,80.6,83.9,0.939,
Новая Зеландия,270467.0,270467.0,263310.0,4395.0,1697.0,1.6,5 338 900,,,,,285.582
Новая Кале­дония,,,,,,,,78.9,76.5,81.4,,
Новая Каледония,18575.0,18575.0,18280.0,300.0,100.0,1.6,268 767,,,,,
Норвегия,323802.0,323802.0,364285.0,19520.0,7537.0,5.1,5 550 203,83.5,81.9,85.0,0.966,461.107
ОАЭ,,,,,,,11 027 129,,,,,948.045
Объе­динён­ные Арабские Эмираты,,,,,,,,83.1,82.2,84.3,0.937,
Объединённые Арабские Эмираты,83600.0,83600.0,71020.0,0.0,0.0,0.0,,,,,,
Оман,309500.0,309500.0,309500.0,0.0,0.0,0.0,5 252 608,80.2,78.7,82.0,0.819,207.604
Остров Мэн,572.0,572.0,570.0,0.0,0.0,0.0,83 314,81.1,79.0,83.2,,
Остров Святой Елены,,,,,,,,77.0,74.0,80.7,,
Остров Святой Елены (Брит.),,,,,,,8987,,,,,
Острова Кайман,,,,,,,60 764,,,,,
Острова Кука,240.0,240.0,240.0,0.0,0.0,0.0,17 325,75.5,72.1,79.2,,
Пакистан,881912.0,881912.0,770880.0,25223.0,9739.0,2.9,251 269 164,67.8,65.5,70.3,0.54,1642.572
Палау,459.0,459.0,460.0,0.0,0.0,0.0,21 507,69.4,67.3,71.9,0.797,0.307
Палестина,6220.0,6220.0,6020.0,220.0,85.0,3.5,,69.2,65.2,74.3,0.716,
Панама,75417.0,75417.0,74180.0,1080.0,417.0,1.4,3 764 166,79.8,76.9,82.7,0.82,202.013
Папуа - Новая Гвинея,462840.0,462840.0,452860.0,9980.0,3850.0,2.2,,,,,,44.3
Папуа — Новая Гвинея,,,,,,,8 776 000,66.3,63.8,69.2,0.568,
Парагвай,406752.0,406752.0,397300.0,9450.0,3650.0,2.3,6 109 903,74.0,71.0,77.1,0.731,124.726
Перу,1285216.0,1285216.0,1280000.0,5220.0,2020.0,0.4,34 217 848,77.9,75.6,80.3,0.762,566.582
Польша,312679.0,312679.0,306130.0,791.0,305.0,0.3,38 539 201,78.8,75.1,82.5,0.881,1800.54
Порту­галия,,,,,,,,82.6,79.7,85.3,0.874,
Португалия,92090.0,92090.0,91605.6,1107.0,427.0,1.2,10 425 292,,,,,485.742
Приднестровье,,,,,,,467 400,,,,,
Пуэрто-Рико,8870.0,8870.0,8870.0,145.0,56.0,1.6,3 411 307,81.9,78.3,85.4,,136.921
Республика Абхазия,,,,,,,243 564,,,,,
Республика Конго,342000.0,342000.0,341500.0,500.0,200.0,0.1,6 142 180,,,,,
Республика Корея,,,,,,,51 717 590,,,,,
Республика Косово,,,,,,,1 907 592,,,,,
Реюньон,2511.0,2511.0,2512.0,0.0,0.0,0.0,844 994,83.7,80.7,86.4,,
Россия,17098242.0,17098242.0,16376870.0,719836.0,277930.0,4.2,144 820 423,73.3,67.5,79.2,0.821,5472.88
Руанда,26338.0,26338.0,24670.0,1670.0,645.0,6.3,14 256 567,68.0,65.7,70.1,0.548,46.658
Румыния,238391.0,238391.0,230080.0,7100.0,2700.0,3.0,19 015 088,76.1,72.6,79.7,0.827,817.986
САДР,,,,,,,582 000,,,,,
США,,,,,,,334 233 854,,,,,28781.083
Сальва­дор,,,,,,,,72.3,67.8,76.5,0.674,
Сальвадор,21041.0,21041.0,20720.0,320.0,120.0,1.5,6 454 000,,,,,80.151
Самоа,2842.0,2842.0,2780.0,10.0,4.0,0.4,197 000,71.8,70.0,73.8,0.702,1.421
Сан-Марино,61.0,61.0,60.0,0.0,0.0,0.0,33 925,85.8,84.3,87.2,0.867,2.978
Сан-Томе и Принсипи,964.0,964.0,960.0,0.0,0.0,0.0,215 000,,,,,1.005
Сан-Томе и Принсипи,,,,,,,,69.9,66.4,73.9,0.613,
Саудов­ская Аравия,,,,,,,,79.0,77.3,81.3,0.875,
Саудовская Аравия,2149690.0,2149690.0,2149690.0,0.0,0.0,0.0,33 962 757,,,,,2354.392
Свази­ленд,,,,,,,,64.3,61.3,67.1,0.61,
Север­ная Корея,,,,,,,,73.7,71.6,75.9,,
Северная Корея,120538.0,120538.0,120410.0,2.0,1.0,0.0,,,,,,
Северная Македония,25713.0,25713.0,25220.0,280.0,110.0,1.1,2 077 132,,,,,45.905
Северные Мариан­ские Острова,,,,,,,,78.9,77.3,80.9,,
Северные Марианские Острова,,,,,,,55 389,,,,,
Северные Марианские острова,464.0,464.0,460.0,0.0,0.0,0.0,,,,,,
Северный Кипр,,,,,,,313 626,,,,,
Сейшель­ские Острова,,,,,,,,73.0,70.1,76.7,0.802,
Сейшельские Острова,,,,,,,98 000,,,,,
Сейшельские острова,452.0,452.0,460.0,0.0,0.0,0.0,,,,,,4.345
Сен-Бартелеми,,,,,,,16 183,84.4,81.6,86.9,,
Сен-Бартельми,21.0,21.0,25.0,0.0,0.0,0.0,,,,,,
Сен-Мартен,,,,,,,36 457,80.4,77.0,84.0,,
Сен-Пьер и Микелон,242.0,242.0,242.0,0.0,0.0,0.0,6301,,,,,
Сен-Пьер и Микелон,,,,,,,,76.9,73.0,81.6,,
Сенегал,196722.0,196722.0,192530.0,4192.0,1619.0,2.1,18 501 984,68.9,67.0,71.0,0.517,86.978
Сент-Винсент и Гренадины,389.0,389.0,390.0,0.0,0.0,0.0,111 000,,,,,2.133
Сент-Винсент и Гренадины,,,,,,,,71.4,68.8,74.5,0.772,
